agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value,agent_type,set_of_allowed_links
1,1001,4002,1,3376,1,1;2;3
2,1001,4003,1,0,1,1;2;3
3,1001,4004,1,0,1,1;2;3
4,1001,4005,1,41,1,1;2;3
5,1001,4006,1,0,1,1;2;3
6,1001,4007,1,142,1,1;2;3
7,1001,4008,1,0,1,1;2;3
8,1001,4009,1,0,1,1;2;3
9,1001,4010,1,534,1,1;2;3
10,1001,4011,1,450,1,1;2;3
11,1001,4012,1,0,1,1;2;3
12,1001,4013,1,914,1,1;2;3
13,1001,4014,1,9,1,1;2;3
14,1001,4015,1,0,1,1;2;3
15,1001,4016,1,3,1,1;2;3
16,1001,4017,1,5311,1,1;2;3
17,1001,4018,1,5486,1,1;2;3
18,1001,4019,1,8,1,1;2;3
19,1001,4020,1,0,1,1;2;3
20,1001,4021,1,2,1,1;2;3
21,1001,4022,1,0,1,1;2;3
22,1001,4023,1,5907,1,1;2;3
23,1001,4024,1,3,1,1;2;3
24,1001,4025,1,0,1,1;2;3
25,1001,4026,1,0,1,1;2;3
26,1001,4027,1,2231,1,1;2;3
27,1001,4028,1,5,1,1;2;3
28,1001,4029,1,1839,1,1;2;3
29,1001,4030,1,5,1,1;2;3
30,1001,4031,1,0,1,1;2;3
31,1001,4032,1,169,1,1;2;3
32,1001,4033,1,3,1,1;2;3
33,1001,4034,1,0,1,1;2;3
34,1001,4035,1,7092,1,1;2;3
35,1001,4036,1,0,1,1;2;3
36,1001,4037,1,0,1,1;2;3
37,1001,4038,1,7,1,1;2;3
38,1001,4039,1,0,1,1;2;3
39,1001,4040,1,0,1,1;2;3
40,1001,4041,1,14,1,1;2;3
41,1001,4042,1,14,1,1;2;3
42,1001,4043,1,0,1,1;2;3
43,1001,4044,1,26,1,1;2;3
44,1001,4045,1,5,1,1;2;3
45,1001,4046,1,0,1,1;2;3
46,1001,4047,1,22,1,1;2;3
47,1001,4048,1,0,1,1;2;3
48,1001,4049,1,0,1,1;2;3
49,1001,4050,1,2861,1,1;2;3
50,1001,4051,1,0,1,1;2;3
51,1001,4052,1,0,1,1;2;3
52,1001,4053,1,1169,1,1;2;3
53,1001,4054,1,0,1,1;2;3
54,1001,4055,1,1,1,1;2;3
55,1001,4056,1,1,1,1;2;3
56,1001,4057,1,0,1,1;2;3
57,1001,4058,1,0,1,1;2;3
58,1001,4059,1,0,1,1;2;3
59,1001,4060,1,2,1,1;2;3
60,1001,4061,1,0,1,1;2;3
61,1001,4062,1,2266,1,1;2;3
62,1001,4063,1,6,1,1;2;3
63,1001,4064,1,1114,1,1;2;3
64,1001,4065,1,0,1,1;2;3
65,1001,4066,1,58,1,1;2;3
66,1001,4067,1,0,1,1;2;3
67,1001,4068,1,0,1,1;2;3
68,1001,4069,1,0,1,1;2;3
69,1001,4070,1,0,1,1;2;3
70,1001,4071,1,0,1,1;2;3
71,1001,4072,1,13,1,1;2;3
72,1001,4073,1,0,1,1;2;3
73,1001,4074,1,0,1,1;2;3
74,1001,4075,1,1,1,1;2;3
75,1001,4076,1,0,1,1;2;3
76,1001,4077,1,0,1,1;2;3
77,1001,4078,1,83,1,1;2;3
78,1001,4079,1,0,1,1;2;3
79,1001,4080,1,0,1,1;2;3
80,1001,4081,1,676,1,1;2;3
81,1001,4082,1,505,1,1;2;3
82,1001,4083,1,9,1,1;2;3
83,1001,4084,1,0,1,1;2;3
84,1001,4085,1,493,1,1;2;3
85,1001,4086,1,0,1,1;2;3
86,1001,4087,1,10,1,1;2;3
87,1001,4088,1,0,1,1;2;3
88,1001,4089,1,0,1,1;2;3
89,1001,4090,1,0,1,1;2;3
90,1001,4091,1,0,1,1;2;3
91,1001,4092,1,0,1,1;2;3
92,1001,4093,1,0,1,1;2;3
93,1001,4094,1,0,1,1;2;3
94,1001,4095,1,1,1,1;2;3
95,1001,4096,1,0,1,1;2;3
96,1001,4097,1,5,1,1;2;3
97,1001,4098,1,0,1,1;2;3
98,1001,4099,1,0,1,1;2;3
99,1001,4100,1,5925,1,1;2;3
100,1001,4101,1,3293,1,1;2;3
101,1001,4102,1,52,1,1;2;3
102,1001,4103,1,6018,1,1;2;3
103,1001,4104,1,574,1,1;2;3
104,1001,4105,1,0,1,1;2;3
105,1001,4106,1,0,1,1;2;3
106,1001,4107,1,0,1,1;2;3
107,1001,4108,1,0,1,1;2;3
108,1001,4109,1,0,1,1;2;3
109,1001,4110,1,0,1,1;2;3
110,1001,4111,1,0,1,1;2;3
111,1001,4112,1,39,1,1;2;3
112,1001,4113,1,587,1,1;2;3
113,1001,4114,1,42,1,1;2;3
114,1001,4115,1,0,1,1;2;3
115,1001,4116,1,1,1,1;2;3
116,1001,4117,1,0,1,1;2;3
117,1001,4118,1,0,1,1;2;3
118,1001,4119,1,2,1,1;2;3
119,1001,4120,1,0,1,1;2;3
120,1001,4121,1,570,1,1;2;3
121,1001,4122,1,0,1,1;2;3
122,1001,4123,1,1,1,1;2;3
123,1001,4124,1,0,1,1;2;3
124,1001,4125,1,2,1,1;2;3
125,1001,4126,1,0,1,1;2;3
126,1001,4127,1,2,1,1;2;3
127,1001,4128,1,17,1,1;2;3
128,1001,4129,1,0,1,1;2;3
129,1001,4130,1,0,1,1;2;3
130,1001,4131,1,0,1,1;2;3
131,1001,4132,1,0,1,1;2;3
132,1001,4133,1,2,1,1;2;3
133,1001,4134,1,103,1,1;2;3
134,1001,4135,1,0,1,1;2;3
135,1001,4136,1,5,1,1;2;3
136,1001,4137,1,0,1,1;2;3
137,1001,4138,1,0,1,1;2;3
138,1001,4139,1,0,1,1;2;3
139,1001,4140,1,0,1,1;2;3
140,1001,4141,1,0,1,1;2;3
141,1001,4142,1,5203,1,1;2;3
142,1001,4143,1,3,1,1;2;3
143,1001,4144,1,2255,1,1;2;3
144,1001,4145,1,3,1,1;2;3
145,1001,4146,1,2527,1,1;2;3
146,1001,4147,1,0,1,1;2;3
147,1001,4148,1,1,1,1;2;3
148,1001,4149,1,0,1,1;2;3
149,1001,4150,1,0,1,1;2;3
150,1002,4001,1,0,1,1;2;3
151,1002,4003,1,312,1,1;2;3
152,1002,4004,1,5870,1,1;2;3
153,1002,4005,1,0,1,1;2;3
154,1002,4006,1,668,1,1;2;3
155,1002,4007,1,3241,1,1;2;3
156,1002,4008,1,0,1,1;2;3
