agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value,agent_type,set_of_allowed_links
1,1001,4002,1,100000,1,1;2;3
2,1001,4003,1,25000,1,1;2;3
3,1001,4004,1,11111,1,1;2;3
4,1001,4005,1,6250,1,1;2;3
5,1001,4006,1,4000,1,1;2;3
6,1001,4007,1,2778,1,1;2;3
7,1001,4008,1,2041,1,1;2;3
8,1001,4009,1,1562,1,1;2;3
9,1001,4010,1,2041,1,1;2;3
10,1001,4011,1,2778,1,1;2;3
11,1001,4012,1,4000,1,1;2;3
12,1001,4013,1,6250,1,1;2;3
13,1001,4014,1,11111,1,1;2;3
14,1001,4015,1,25000,1,1;2;3
15,1001,4016,1,100000,1,1;2;3
16,1001,4017,1,100000,1,1;2;3
17,1001,4018,1,50000,1,1;2;3
18,1001,4019,1,20000,1,1;2;3
19,1001,4020,1,10000,1,1;2;3
20,1001,4021,1,5882,1,1;2;3
21,1001,4022,1,3846,1,1;2;3
22,1001,4023,1,2703,1,1;2;3
23,1001,4024,1,2000,1,1;2;3
24,1001,4025,1,1538,1,1;2;3
25,1001,4026,1,2000,1,1;2;3
26,1001,4027,1,2703,1,1;2;3
27,1001,4028,1,3846,1,1;2;3
28,1001,4029,1,5882,1,1;2;3
29,1001,4030,1,10000,1,1;2;3
30,1001,4031,1,20000,1,1;2;3
31,1001,4032,1,50000,1,1;2;3
32,1001,4033,1,25000,1,1;2;3
33,1001,4034,1,20000,1,1;2;3
34,1001,4035,1,12500,1,1;2;3
35,1001,4036,1,7692,1,1;2;3
36,1001,4037,1,5000,1,1;2;3
37,1001,4038,1,3448,1,1;2;3
38,1001,4039,1,2500,1,1;2;3
39,1001,4040,1,1887,1,1;2;3
40,1001,4041,1,1471,1,1;2;3
41,1001,4042,1,1887,1,1;2;3
42,1001,4043,1,2500,1,1;2;3
43,1001,4044,1,3448,1,1;2;3
44,1001,4045,1,5000,1,1;2;3
45,1001,4046,1,7692,1,1;2;3
46,1001,4047,1,12500,1,1;2;3
47,1001,4048,1,20000,1,1;2;3
48,1001,4049,1,11111,1,1;2;3
49,1001,4050,1,10000,1,1;2;3
50,1001,4051,1,7692,1,1;2;3
51,1001,4052,1,5556,1,1;2;3
52,1001,4053,1,4000,1,1;2;3
53,1001,4054,1,2941,1,1;2;3
54,1001,4055,1,2222,1,1;2;3
55,1001,4056,1,1724,1,1;2;3
56,1001,4057,1,1370,1,1;2;3
57,1001,4058,1,1724,1,1;2;3
58,1001,4059,1,2222,1,1;2;3
59,1001,4060,1,2941,1,1;2;3
60,1001,4061,1,4000,1,1;2;3
61,1001,4062,1,5556,1,1;2;3
62,1001,4063,1,7692,1,1;2;3
63,1001,4064,1,10000,1,1;2;3
64,1001,4065,1,6250,1,1;2;3
65,1001,4066,1,5882,1,1;2;3
66,1001,4067,1,5000,1,1;2;3
67,1001,4068,1,4000,1,1;2;3
68,1001,4069,1,3125,1,1;2;3
69,1001,4070,1,2439,1,1;2;3
70,1001,4071,1,1923,1,1;2;3
71,1001,4072,1,1538,1,1;2;3
72,1001,4073,1,1250,1,1;2;3
73,1001,4074,1,1538,1,1;2;3
74,1001,4075,1,1923,1,1;2;3
75,1001,4076,1,2439,1,1;2;3
76,1001,4077,1,3125,1,1;2;3
77,1001,4078,1,4000,1,1;2;3
78,1001,4079,1,5000,1,1;2;3
79,1001,4080,1,5882,1,1;2;3
80,1001,4081,1,4000,1,1;2;3
81,1001,4082,1,3846,1,1;2;3
82,1001,4083,1,3448,1,1;2;3
83,1001,4084,1,2941,1,1;2;3
84,1001,4085,1,2439,1,1;2;3
85,1001,4086,1,2000,1,1;2;3
86,1001,4087,1,1639,1,1;2;3
87,1001,4088,1,1351,1,1;2;3
88,1001,4089,1,1124,1,1;2;3
89,1001,4090,1,1351,1,1;2;3
90,1001,4091,1,1639,1,1;2;3
91,1001,4092,1,2000,1,1;2;3
92,1001,4093,1,2439,1,1;2;3
93,1001,4094,1,2941,1,1;2;3
94,1001,4095,1,3448,1,1;2;3
95,1001,4096,1,3846,1,1;2;3
96,1001,4097,1,2778,1,1;2;3
97,1001,4098,1,2703,1,1;2;3
98,1001,4099,1,2500,1,1;2;3
99,1001,4100,1,2222,1,1;2;3
100,1001,4101,1,1923,1,1;2;3
101,1001,4102,1,1639,1,1;2;3
102,1001,4103,1,1389,1,1;2;3
103,1001,4104,1,1176,1,1;2;3
104,1001,4105,1,1000,1,1;2;3
105,1001,4106,1,1176,1,1;2;3
106,1001,4107,1,1389,1,1;2;3
107,1001,4108,1,1639,1,1;2;3
108,1001,4109,1,1923,1,1;2;3
109,1001,4110,1,2222,1,1;2;3
110,1001,4111,1,2500,1,1;2;3
111,1001,4112,1,2703,1,1;2;3
112,1001,4113,1,2041,1,1;2;3
113,1001,4114,1,2000,1,1;2;3
114,1001,4115,1,1887,1,1;2;3
115,1001,4116,1,1724,1,1;2;3
116,1001,4117,1,1538,1,1;2;3
117,1001,4118,1,1351,1,1;2;3
118,1001,4119,1,1176,1,1;2;3
119,1001,4120,1,1020,1,1;2;3
120,1001,4121,1,885,1,1;2;3
121,1001,4122,1,1020,1,1;2;3
122,1001,4123,1,1176,1,1;2;3
123,1001,4124,1,1351,1,1;2;3
124,1001,4125,1,1538,1,1;2;3
125,1001,4126,1,1724,1,1;2;3
126,1001,4127,1,1887,1,1;2;3
127,1001,4128,1,2000,1,1;2;3
128,1001,4129,1,1562,1,1;2;3
129,1001,4130,1,1538,1,1;2;3
130,1001,4131,1,1471,1,1;2;3
131,1001,4132,1,1370,1,1;2;3
132,1001,4133,1,1250,1,1;2;3
133,1001,4134,1,1124,1,1;2;3
134,1001,4135,1,1000,1,1;2;3
135,1001,4136,1,885,1,1;2;3
136,1001,4137,1,781,1,1;2;3
137,1001,4138,1,885,1,1;2;3
138,1001,4139,1,1000,1,1;2;3
139,1001,4140,1,1124,1,1;2;3
140,1001,4141,1,1250,1,1;2;3
141,1001,4142,1,1370,1,1;2;3
142,1001,4143,1,1471,1,1;2;3
143,1001,4144,1,1538,1,1;2;3
144,1001,4145,1,2041,1,1;2;3
145,1001,4146,1,2000,1,1;2;3
146,1001,4147,1,1887,1,1;2;3
147,1001,4148,1,1724,1,1;2;3
148,1001,4149,1,1538,1,1;2;3
149,1001,4150,1,1351,1,1;2;3
150,1001,4151,1,1176,1,1;2;3
151,1001,4152,1,1020,1,1;2;3
